,name,genre,type,anime_name,anime_size,popularity,combined,id
0,kiminonawa,"['drama', ' romance', ' school', ' supernatural']",Movie,Kimi no Na wa ,tiny,veryhigh, kiminonawa drama  romance  school  supernatural Movie tiny veryhigh ,0
1,fullmetalalchemistbrotherhood,"['action', ' adventure', ' drama', ' fantasy', ' magic', ' military', ' shounen']",TV,Fullmetal Alchemist: Brotherhood,medium,veryhigh, fullmetalalchemistbrotherhood action  adventure  drama  fantasy  magic  military  shounen TV medium veryhigh ,1
2,gintama,"['action', ' comedy', ' historical', ' parody', ' samurai', ' sci-fi', ' shounen']",TV,Gintama ,medium,veryhigh, gintama action  comedy  historical  parody  samurai  sci-fi  shounen TV medium veryhigh ,2
3,steinsgate,"['sci-fi', ' thriller']",TV,Steins Gate,small,veryhigh, steinsgate sci-fi  thriller TV small veryhigh ,3
4,gintama039,"['action', ' comedy', ' historical', ' parody', ' samurai', ' sci-fi', ' shounen']",TV,Gintama  039 ,medium,veryhigh, gintama039 action  comedy  historical  parody  samurai  sci-fi  shounen TV medium veryhigh ,4
5,haikyuukarasunokoukouvsshiratorizawagakuenkoukou,"['comedy', ' drama', ' school', ' shounen', ' sports']",TV,Haikyuu  : Karasuno Koukou VS Shiratorizawa Gakuen Koukou,small,high, haikyuukarasunokoukouvsshiratorizawagakuenkoukou comedy  drama  school  shounen  sports TV small high ,5
6,hunterxhunter2011,"['action', ' adventure', ' shounen', ' super power']",TV,Hunter x Hunter (2011),large,veryhigh, hunterxhunter2011 action  adventure  shounen  super power TV large veryhigh ,6
7,gingaeiyuudensetsu,"['drama', ' military', ' sci-fi', ' space']",OVA,Ginga Eiyuu Densetsu,large,high, gingaeiyuudensetsu drama  military  sci-fi  space OVA large high ,7
8,gintamamoviekanketsuhenyorozuyayoeiennare,"['action', ' comedy', ' historical', ' parody', ' samurai', ' sci-fi', ' shounen']",Movie,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,tiny,high, gintamamoviekanketsuhenyorozuyayoeiennare action  comedy  historical  parody  samurai  sci-fi  shounen Movie tiny high ,8
9,gintama039enchousen,"['action', ' comedy', ' historical', ' parody', ' samurai', ' sci-fi', ' shounen']",TV,Gintama  039 : Enchousen,small,high, gintama039enchousen action  comedy  historical  parody  samurai  sci-fi  shounen TV small high ,9
10,clannadafterstory,"['drama', ' fantasy', ' romance', ' slice of life', ' supernatural']",TV,Clannad: After Story,small,veryhigh, clannadafterstory drama  fantasy  romance  slice of life  supernatural TV small veryhigh ,10
11,koenokatachi,"['drama', ' school', ' shounen']",Movie,Koe no Katachi,tiny,veryhigh, koenokatachi drama  school  shounen Movie tiny veryhigh ,11
12,gintama,"['action', ' comedy', ' historical', ' parody', ' samurai', ' sci-fi', ' shounen']",TV,Gintama,verylarge,veryhigh, gintama action  comedy  historical  parody  samurai  sci-fi  shounen TV verylarge veryhigh ,12
13,codegeasshangyakunolelouchr2,"['action', ' drama', ' mecha', ' military', ' sci-fi', ' super power']",TV,Code Geass: Hangyaku no Lelouch R2,small,veryhigh, codegeasshangyakunolelouchr2 action  drama  mecha  military  sci-fi  super power TV small veryhigh ,13
14,haikyuusecondseason,"['comedy', ' drama', ' school', ' shounen', ' sports']",TV,Haikyuu   Second Season,small,veryhigh, haikyuusecondseason comedy  drama  school  shounen  sports TV small veryhigh ,14
15,sentochihironokamikakushi,"['adventure', ' drama', ' supernatural']",Movie,Sen to Chihiro no Kamikakushi,tiny,veryhigh, sentochihironokamikakushi adventure  drama  supernatural Movie tiny veryhigh ,15
16,shigatsuwakiminouso,"['drama', ' music', ' romance', ' school', ' shounen']",TV,Shigatsu wa Kimi no Uso,small,veryhigh, shigatsuwakiminouso drama  music  romance  school  shounen TV small veryhigh ,16
17,mushishizokushou2ndseason,"['adventure', ' fantasy', ' historical', ' mystery', ' seinen', ' slice of life', ' supernatural']",TV,Mushishi Zoku Shou 2nd Season,small,high, mushishizokushou2ndseason adventure  fantasy  historical  mystery  seinen  slice of life  supernatural TV small high ,17
18,ookamikodomonoametoyuki,"['fantasy', ' slice of life']",Movie,Ookami Kodomo no Ame to Yuki,tiny,veryhigh, ookamikodomonoametoyuki fantasy  slice of life Movie tiny veryhigh ,18
19,codegeasshangyakunolelouch,"['action', ' mecha', ' military', ' school', ' sci-fi', ' super power']",TV,Code Geass: Hangyaku no Lelouch,small,veryhigh, codegeasshangyakunolelouch action  mecha  military  school  sci-fi  super power TV small veryhigh ,19
20,hajimenoippo,"['comedy', ' drama', ' shounen', ' sports']",TV,Hajime no Ippo,medium,veryhigh, hajimenoippo comedy  drama  shounen  sports TV medium veryhigh ,20
21,rurounikenshinmeijikenkakuromantantsuiokuhen,"['action', ' drama', ' historical', ' martial arts', ' romance', ' samurai']",OVA,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,small,veryhigh, rurounikenshinmeijikenkakuromantantsuiokuhen action  drama  historical  martial arts  romance  samurai OVA small veryhigh ,21
22,cowboybebop,"['action', ' adventure', ' comedy', ' drama', ' sci-fi', ' space']",TV,Cowboy Bebop,small,veryhigh, cowboybebop action  adventure  comedy  drama  sci-fi  space TV small veryhigh ,22
23,onepunchman,"['action', ' comedy', ' parody', ' sci-fi', ' seinen', ' super power', ' supernatural']",TV,One Punch Man,small,veryhigh, onepunchman action  comedy  parody  sci-fi  seinen  super power  supernatural TV small veryhigh ,23
24,mononokehime,"['action', ' adventure', ' fantasy']",Movie,Mononoke Hime,tiny,veryhigh, mononokehime action  adventure  fantasy Movie tiny veryhigh ,24
25,suzumiyaharuhinoshoushitsu,"['comedy', ' mystery', ' romance', ' school', ' sci-fi', ' supernatural']",Movie,Suzumiya Haruhi no Shoushitsu,tiny,veryhigh, suzumiyaharuhinoshoushitsu comedy  mystery  romance  school  sci-fi  supernatural Movie tiny veryhigh ,25
26,monogatariseriessecondseason,"['comedy', ' mystery', ' romance', ' supernatural', ' vampire']",TV,Monogatari Series: Second Season,small,veryhigh, monogatariseriessecondseason comedy  mystery  romance  supernatural  vampire TV small veryhigh ,26
27,mushishizokushou,"['adventure', ' fantasy', ' historical', ' mystery', ' seinen', ' slice of life', ' supernatural']",TV,Mushishi Zoku Shou,small,veryhigh, mushishizokushou adventure  fantasy  historical  mystery  seinen  slice of life  supernatural TV small veryhigh ,27
28,mushishi,"['adventure', ' fantasy', ' historical', ' mystery', ' seinen', ' slice of life', ' supernatural']",TV,Mushishi,small,veryhigh, mushishi adventure  fantasy  historical  mystery  seinen  slice of life  supernatural TV small veryhigh ,28
29,tengentoppagurrenlagann,"['action', ' adventure', ' comedy', ' mecha', ' sci-fi']",TV,Tengen Toppa Gurren Lagann,small,veryhigh, tengentoppagurrenlagann action  adventure  comedy  mecha  sci-fi TV small veryhigh ,29
30,greatteacheronizuka,"['comedy', ' drama', ' school', ' shounen', ' slice of life']",TV,Great Teacher Onizuka,small,veryhigh, greatteacheronizuka comedy  drama  school  shounen  slice of life TV small veryhigh ,30
31,natsumeyuujinchougo,"['drama', ' fantasy', ' shoujo', ' slice of life', ' supernatural']",TV,Natsume Yuujinchou Go,small,high, natsumeyuujinchougo drama  fantasy  shoujo  slice of life  supernatural TV small high ,31
32,hajimenoipponewchallenger,"['comedy', ' drama', ' shounen', ' sports']",TV,Hajime no Ippo: New Challenger,small,high, hajimenoipponewchallenger comedy  drama  shounen  sports TV small high ,32
33,mushishizokushousuzunoshizuku,"['adventure', ' fantasy', ' historical', ' mystery', ' seinen', ' slice of life', ' supernatural']",Movie,Mushishi Zoku Shou: Suzu no Shizuku,tiny,high, mushishizokushousuzunoshizuku adventure  fantasy  historical  mystery  seinen  slice of life  supernatural Movie tiny high ,33
